timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653502243349,484,PostLogin,200,OK,CreateProjectThreadGroup 5-1,text,true,,14162,930,1,5,http://localhost/account_page.php,199,0,0
1653502243349,199,PostLogin-0,302,Found,CreateProjectThreadGroup 5-1,text,true,,845,325,1,5,http://localhost/login.php,199,0,0
1653502243548,163,PostLogin-1,302,Found,CreateProjectThreadGroup 5-1,text,true,,644,317,1,5,http://localhost/login_cookie_test.php?return=account_page.php,163,0,0
1653502243711,122,PostLogin-2,200,OK,CreateProjectThreadGroup 5-1,text,true,,12673,288,1,5,http://localhost/account_page.php,122,0,0
1653502243827,86,SendLogin,200,OK,LoginThreadGroup 1-1,text,true,,5454,304,1,5,http://localhost/login_password_page.php,86,0,0
1653502243833,87,GetManagePage,200,OK,CreateProjectThreadGroup 5-1,text,true,,11713,299,1,5,http://localhost/manage_overview_page.php%20,86,0,0
1653502243268,684,PostLogin,200,OK,CreateIssueThreadGroup 2-1,text,true,,50005,1204,1,5,http://localhost/my_view_page.php,209,0,0
1653502243268,209,PostLogin-0,302,Found,CreateIssueThreadGroup 2-1,text,true,,838,325,1,5,http://localhost/login.php,209,0,0
1653502243478,68,PostLogin-1,302,Found,CreateIssueThreadGroup 2-1,text,true,,637,310,1,5,http://localhost/login_cookie_test.php?return=index.php,68,0,0
1653502243546,166,PostLogin-2,302,Found,CreateIssueThreadGroup 2-1,text,true,,644,281,1,5,http://localhost/index.php,166,0,0
1653502243712,240,PostLogin-3,200,OK,CreateIssueThreadGroup 2-1,text,true,,47886,288,1,5,http://localhost/my_view_page.php,239,0,0
1653502243662,467,PostLogin,200,OK,CreateUserThreadGroup 4-1,text,true,,14162,930,1,5,http://localhost/account_page.php,239,0,0
1653502243662,239,PostLogin-0,302,Found,CreateUserThreadGroup 4-1,text,true,,845,325,1,5,http://localhost/login.php,239,0,0
1653502243902,81,PostLogin-1,302,Found,CreateUserThreadGroup 4-1,text,true,,644,317,1,5,http://localhost/login_cookie_test.php?return=account_page.php,81,0,0
1653502243984,145,PostLogin-2,200,OK,CreateUserThreadGroup 4-1,text,true,,12673,288,1,5,http://localhost/account_page.php,145,0,0
1653502243952,227,BugReportPageGet,200,OK,CreateIssueThreadGroup 2-1,text,true,,19515,291,1,5,http://localhost/bug_report_page.php,226,0,0
1653502244129,69,GetManagePage,200,OK,CreateUserThreadGroup 4-1,text,true,,11713,299,1,5,http://localhost/manage_overview_page.php%20,69,0,0
1653502244179,79,BugReportPost,200,OK,CreateIssueThreadGroup 2-1,text,true,,10282,766,1,5,http://localhost/bug_report.php,79,0,0
1653502243337,952,CloseIssue,200,OK,CloseIssueThreadGroup 3-1,text,true,,20017,1331,1,5,http://localhost/view.php?id=31,694,0,0
1653502243337,694,CloseIssue-0,302,Found,CloseIssueThreadGroup 3-1,text,true,,642,798,1,5,http://localhost/bug_update.php,694,0,0
1653502244031,258,CloseIssue-1,200,OK,CloseIssueThreadGroup 3-1,text,true,,19375,533,1,5,http://localhost/view.php?id=31,258,0,0
1653502243920,377,GetManageProjectPage,200,OK,CreateProjectThreadGroup 5-1,text,true,,15281,292,1,5,http://localhost/manage_proj_page.php,361,0,0
1653502244199,112,GetManageUsersPage,200,OK,CreateUserThreadGroup 4-1,text,true,,31079,292,1,5,http://localhost/manage_user_page.php,112,0,0
1653502244297,100,PostManageProjectCreatePage,200,OK,CreateProjectThreadGroup 5-1,text,true,,12654,454,1,5,http://localhost/manage_proj_create_page.php,100,0,0
1653502244312,99,GetManageCreateUserPage,200,OK,CreateUserThreadGroup 4-1,text,true,,12729,299,1,5,http://localhost/manage_user_create_page.php,99,0,0
1653502244259,194,GetHost,200,OK,CreateIssueThreadGroup 2-1,text,true,,5707,288,1,5,http://localhost/login_page.php,90,0,0
1653502244259,90,GetHost-0,302,Found,CreateIssueThreadGroup 2-1,text,true,,710,114,1,5,http://localhost/,90,0,0
1653502244349,104,GetHost-1,200,OK,CreateIssueThreadGroup 2-1,text,true,,4997,174,1,5,http://localhost/login_page.php,104,0,0
1653502244290,190,GetHost,200,OK,CloseIssueThreadGroup 3-1,text,true,,5707,288,1,5,http://localhost/login_page.php,97,0,0
1653502244290,97,GetHost-0,302,Found,CloseIssueThreadGroup 3-1,text,true,,710,114,1,5,http://localhost/,97,0,0
1653502244387,93,GetHost-1,200,OK,CloseIssueThreadGroup 3-1,text,true,,4997,174,1,5,http://localhost/login_page.php,93,0,0
1653502244398,226,PostCreateProject,200,OK,CreateProjectThreadGroup 5-1,text,true,,10146,523,1,5,http://localhost/manage_proj_create.php,225,0,0
1653502244412,215,PostCreateUser,200,OK,CreateUserThreadGroup 4-1,text,true,,10565,525,1,5,http://localhost/manage_user_create.php,214,0,0
1653502244453,185,SendLogin,200,OK,CreateIssueThreadGroup 2-1,text,true,,5456,305,1,5,http://localhost/login_password_page.php,185,0,0
1653502244480,158,SendLogin,200,OK,CloseIssueThreadGroup 3-1,text,true,,5456,305,1,5,http://localhost/login_password_page.php,158,0,0
1653502243913,845,PostLogin,200,OK,LoginThreadGroup 1-1,text,true,,51189,1203,1,5,http://localhost/my_view_page.php,369,0,0
1653502243913,369,PostLogin-0,302,Found,LoginThreadGroup 1-1,text,true,,838,324,1,5,http://localhost/login.php,369,0,0
